release_date,nrows
2021-07-12,1483262
2021-07-19,1511275
2021-07-26,1539542
2021-08-02,1563219
2021-08-09,1585599
2021-08-16,1604248
2021-08-23,1620202
2021-08-30,1637233
2021-09-06,1650422
2021-09-13,1660798
2021-09-20,1672970
2021-09-27,1684758
2021-10-04,1695792
2021-10-11,1704959
2021-10-18,1711248
2021-10-25,1718732
2021-11-01,1724458
2021-11-08,1729696
2021-11-15,1736726
2021-11-24,1742927
2021-11-29,1749087
2022-01-10,1771889
2022-01-26,1793837
2022-01-31,1801055
2022-02-07,1816847
2022-02-14,1833288
2022-02-21,1845999
2022-02-28,1845999
2022-03-09,1869488
2022-03-28,1882996
2022-04-04,1886447
2022-04-11,1889423
2022-04-18,1891278
2022-04-25,1893091
2022-05-02,1895784
2022-05-16,1899450
2022-05-23,1902642
2022-05-30,1905469
2022-06-13,1913540
2022-06-20,1917531
2022-06-27,1922986
2022-07-11,1935526
2022-07-18,1941273
2022-07-25,1946741
2022-08-01,1951397
2022-08-08,1955566
2022-08-15,1959166
2022-08-22,1962339
2022-08-29,1964894
2022-09-05,1966995
2022-09-12,1968274
2022-09-19,1970085
2022-09-26,1971599
2022-10-17,1975642
2022-10-24,1976951
2022-10-31,1978233
2022-11-07,1979340
2022-11-14,1980920
2022-11-21,1982948
2022-11-28,1986525
2022-12-05,1989974
2022-12-12,1993445
2022-12-19,1997790
2022-12-26,2001506
2023-01-02,2005068
2023-01-09,2008666
2023-01-16,2011489
2023-01-23,2013806
2023-02-13,2013569
2023-03-06,2022907
2023-03-20,2026496
2023-10-16,2044343
